,match_no,date,cleaned_venue,match_type,home_team,away_team,home_team_abbrev,away_team_abbrev,home_score_runs,away_score_runs,home_target,away_target,result_outcome,balls_remaining,winning_margin,winning_type,home_win,away_win,winner,win,loss,toss_winner,toss_decision,player_of_the_match,most_runs,most_wkts
58,39th,2024-04-23,Chennai,Night,Chennai Super Kings,Lucknow Super Giants,CSK,LSG,210/4,213/4 ,0,211,LSG won by 6 wkts ,3,6,Wickets,False,True,LSG,LSG,CSK,Chennai,Field,Shubman Gill,Shubman Gill,Mohit Sharma
22,40th,2024-04-24,Delhi,Night,Delhi Capitals,Gujarat Titans,DC,GT,224/4,220/8 ,0,225,DC won by 4 runs,0,4,Runs,True,False,DC,DC,GT,Punjab,Field,Nitish Kumar Reddy,Nitish Kumar Reddy,Arshdeep Singh
59,41st,2024-04-25,Hyderabad,Night,Sunrisers Hyderabad,RCB,SRH,RCB,171/8 ,206/7,207,0,RCB won by 35 runs,0,35,Runs,False,True,RCB,RCB,SRH,Mumbai,Field,Varun Chakravarthy,Venkatesh Iyer,Varun Chakravarthy
60,42nd,2024-04-26,Kolka,Night,Kolkata Knight Riders,Punjab Kings,KKR,PBKS,261/6,262/2 ,0,262,PBKS won by 8 wkts ,8,8,Wickets,False,True,PBKS,PBKS,KKR,Rajasthan,Bat,Simarjeet Singh,Riyan Parag,Simarjeet Singh
61,44th,2024-04-27,Lucknow,Night,Lucknow Super Giants,Rajasthan Royals,LSG,RR,196/5,199/3 ,0,197,RR won by 7 wkts ,6,7,Wickets,False,True,RR,RR,LSG,Delhi,Field,Cameron Green,Axar Patel,Yash Dayal
23,43rd,2024-04-27,Delhi,Day/Night,Delhi Capitals,Mumbai Indians,DC,MI,257/4,247/9 ,0,258,DC won by 10 runs,0,10,Runs,True,False,DC,DC,MI,Gujarat,Field,Rashid Khan,Riyan Parag,Kuldeep Sen
62,45th,2024-04-28,Ahmedabad,Day/Night,Gujarat Titans,RCB,GT,RCB,200/3,206/1 ,0,201,RCB won by 9 wkts ,24,9,Wickets,False,True,RCB,RCB,GT,No Toss,,,,
24,46th,2024-04-28,Chennai,Night,Chennai Super Kings,Sunrisers Hyderabad,CSK,SRH,212/3,134 ,0,213,CSK won by 78 runs,0,78,Runs,True,False,CSK,CSK,SRH,Mumbai,Field,Jasprit Bumrah,Ishan Kishan,Jasprit Bumrah
25,47th,2024-04-29,Kolka,Night,Kolkata Knight Riders,Delhi Capitals,KKR,DC,157/3 ,153/9,154,0,KKR won by 7 wkts ,21,7,Wickets,True,False,KKR,KKR,DC,Lucknow,Bat,Kuldeep Yadav,Ayush Badoni,Kuldeep Yadav
45,16th,2024-04-03,Visakhapnam,Night,Delhi Capitals,Kolkata Knight Riders,DC,KKR,166 ,272/7,273,0,KKR won by 106 runs,0,106,Runs,False,True,KKR,KKR,DC,Hyderabad,Field,Ruturaj Gaikwad,Ruturaj Gaikwad,Tushar Deshpande
26,48th,2024-04-30,Lucknow,Night,Lucknow Super Giants,Mumbai Indians,LSG,MI,145/6 ,144/7,145,0,LSG won by 4 wkts ,4,4,Wickets,True,False,LSG,LSG,MI,Rajasthan,Field,Shimron Hetmyer,Yashasvi Jaiswal ,Kagiso Rabada
46,17th,2024-04-04,Ahmedabad,Night,Gujarat Titans,Punjab Kings,GT,PBKS,199/4,200/7 ,0,200,PBKS won by 3 wkts ,1,3,Wickets,False,True,PBKS,PBKS,GT,Delhi,Bat,Varun Chakravarthy,Phil Salt,Varun Chakravarthy
12,18th,2024-04-05,Hyderabad,Night,Sunrisers Hyderabad,Chennai Super Kings,SRH,CSK,166/4 ,165/5,166,0,SRH won by 6 wkts ,11,6,Wickets,True,False,SRH,SRH,CSK,Delhi,Bat,Khaleel Ahmed,Jos Buttler,Mukesh Kumar
13,19th,2024-04-06,Jaipur,Night,Rajasthan Royals,Royal Challengers Bengaluru,RR,RCB,189/4 ,183/3,184,0,RR won by 6 wkts ,5,6,Wickets,True,False,RR,RR,RCB,Rajasthan,Field,Trent Boult,Riyan Parag ,Yuzvendra Chahal
15,21st,2024-04-07,Lucknow,Night,Lucknow Super Giants,Gujarat Titans,LSG,GT,163/5,130 ,0,164,LSG won by 33 runs,0,33,Runs,True,False,LSG,LSG,GT,Kolkata,Bat,Sunil Narine,Sunil Narine,Vaibhav Arora
14,20th,2024-04-07,Mumbai,Day/Night,Mumbai Indians,Delhi Capitals,MI,DC,234/5,205/8 ,0,235,MI won by 29 runs,0,29,Runs,True,False,MI,MI,DC,Banglore,Field,Mayank Yadav,Quinton de Kock,Mayank Yadav
16,22nd,2024-04-08,Chennai,Night,Chennai Super Kings,Kolkata Knight Riders,CSK,KKR,141/3 ,137/9,138,0,CSK won by 7 wkts ,14,7,Wickets,True,False,CSK,CSK,KKR,Punjab,Field,Shashank Singh,Shubman Gill,Noor Ahmad
47,23rd,2024-04-09,Mohali,Night,Punjab Kings,Sunrisers Hyderabad,PBKS,SRH,180/6 ,182/9,183,0,SRH won by 2 runs,0,2,Runs,False,True,SRH,SRH,PBKS,Lucknow,Field,Marcus Stoinis,Marcus Stoinis,Hardik Pandya
0,1st,2024-03-22,Chennai,Night,Chennai Super Kings,Royal Challengers Bengaluru,CSK,RCB,176/4 ,173/6,174,0,CSK won by 6 wkts ,8,6,Wickets,True,False,CSK,CSK,RCB,Banglore,Bat,Mustafizur Rahman,Anuj Rawat,Mustafizur Rahman
2,3rd,2024-03-23,Kolka,Night,Kolkata Knight Riders,Sunrisers Hyderabad,KKR,SRH,208/7,204/7 ,0,209,KKR won by 4 runs,0,4,Runs,True,False,KKR,KKR,SRH,Hyderabad,Field,Andre Russell,Andre Russell,T Natarajan
1,2nd,2024-03-23,Mohali,Day/Night,Punjab Kings,Delhi Capitals,PBKS,DC,177/6 ,174/9,175,0,PBKS won by 4 wkts ,4,4,Wickets,True,False,PBKS,PBKS,DC,Punjab,Field,Sam Curran,Sam Curran,Kuldeep Yadav
3,4th,2024-03-24,Jaipur,Day/Night,Rajasthan Royals,Lucknow Super Giants,RR,LSG,193/4,173/6 ,0,194,RR won by 20 runs,0,20,Runs,True,False,RR,RR,LSG,Rajasthan,Bat,Sanju Samson,Sanju Samson,Trent Boult
4,5th,2024-03-24,Ahmedabad,Night,Gujarat Titans,Mumbai Indians,GT,MI,168/6,162/9 ,0,169,GT won by 6 runs,0,6,Runs,True,False,GT,GT,MI,Mumbai,Field,Sai Sudharsan,Dewald Brevis,Jasprit Bumrah
5,6th,2024-03-25,Bengaluru,Night,RCB,Punjab Kings,RCB,PBKS,178/6 ,176/6,177,0,RCB won by 4 wkts ,4,4,Wickets,True,False,RCB,RCB,PBKS,Banglore,Field,Virat Kohli,Virat Kohli,Harpreet Brar
6,7th,2024-03-26,Chennai,Night,Chennai Super Kings,Gujarat Titans,CSK,GT,206/6,143/8 ,0,207,CSK won by 63 runs,0,63,Runs,True,False,CSK,CSK,GT,Gujarat,Field,Shivam Dube,Shivam Dube,Tushar Deshpande
7,8th,2024-03-27,Hyderabad,Night,Sunrisers Hyderabad,Mumbai Indians,SRH,MI,277/3,246/5 ,0,278,SRH won by 31 runs,0,31,Runs,True,False,SRH,SRH,MI,Mumbai,Field,Abhishek Sharma,Heinrich Klaasen,Pat Cummins
8,9th,2024-03-28,Jaipur,Night,Rajasthan Royals,Delhi Capitals,RR,DC,185/5,173/5 ,0,186,RR won by 12 runs,0,12,Runs,True,False,RR,RR,DC,Delhi,Field,Riyan Parag,Riyan Parag,Yuzvendra Chahal
42,10th,2024-03-29,Bengaluru,Night,Royal Challengers Bengaluru,Kolkata Knight Riders,RCB,KKR,182/6,186/3 ,0,183,KKR won by 7 wkts ,19,7,Wickets,False,True,KKR,KKR,RCB,Mumbai,Field,Jake Fraser-McGurk,Jake Fraser-McGurk,Rasikh Salam
9,11th,2024-03-30,Lucknow,Night,Lucknow Super Giants,Punjab Kings,LSG,PBKS,199/8,178/5 ,0,200,LSG won by 21 runs,0,21,Runs,True,False,LSG,LSG,PBKS,Kolkata,Field,Sunil Narine,Virat Kohli ,Andre Russell
10,12th,2024-03-31,Ahmedabad,Day/Night,Gujarat Titans,Sunrisers Hyderabad,GT,SRH,168/3 ,162/8,163,0,GT won by 7 wkts ,5,7,Wickets,True,False,GT,GT,SRH,Lucknow,Bat,Mayank Yadav,Shikhar Dhawan,Mayank Yadav
11,13th,2024-03-31,Visakhapnam,Night,Delhi Capitals,Chennai Super Kings,DC,CSK,191/5,171/6 ,0,192,DC won by 20 runs,0,20,Runs,True,False,DC,DC,CSK,Hyderabad,Bat,Mohit Sharma,Sai Sudharsan,Mohit Sharma
63,49th,2024-05-01,Chennai,Night,Chennai Super Kings,Punjab Kings,CSK,PBKS,162/7,163/3 ,0,163,PBKS won by 7 wkts ,13,7,Wickets,False,True,PBKS,PBKS,CSK,Lucknow,Field,Ishant Sharma,Nicholas Pooran,Ishant Sharma
32,59th,2024-05-10,Ahmedabad,Night,Gujarat Titans,Chennai Super Kings,GT,CSK,231/3,196/8 ,0,232,GT won by 35 runs,0,35,Runs,True,False,GT,GT,CSK,Punjab,Field,Jasprit Bumrah,Suryakumar Yadav,Jasprit Bumrah
